,,,,,,,c,,,,,,,,,
,DEL × Transgrid SPV — Integrated Workplan,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Workstream,TOR Workstream classification,Phase,Task ID,Main Task,Description of Activity,Responsible Owner,Key Deliverable,,Start Date,End Date,Start Week,End Week,Duration (Wks),Dependencies,Critical Path
,1. Project Governance & Coordination,Transition from Collaboration Agreement,Phase 1,PG-01,JDT Kick-off,"Inaugural JDT meeting  confirm leads (DEL & Transgrid), agree decision rights, escalation paths.",JDT Leads,Minutes; signed JDT Charter,,4/21/2026,4/28/2026,Week 1,Week 2,2 wks,,Critical
,1. Project Governance & Coordination,Project Management Office/Secretariat,Phase 1,PG-02,PMO Stand-up,"Comms channels, document repository and  PMO registers (Action, Decision, Issues, Cost, Data, Risk) ",PMO,PMO operational; registers and dashboard live,,4/29/2026,5/8/2026,Week 2,Week 3,2 wks,PG-01,Critical
,1. Project Governance & Coordination,Project Management Office/Secretariat,Phase 1,PG-03,Baseline Workplan,Consolidate workstream plans into integrated Gantt; agree milestones; JDT Leads sign-off.,PMO,Approved baseline workplan,,5/11/2026,5/15/2026,Week 3,Week 4,2 wks,PG-02,Critical
,1. Project Governance & Coordination,Transition from Collaboration Agreement,Phase 1,PG-04,Quasi-Board Gate,Budget Preparation  and approval — formal go/no-go to proceed to FID workstreams,JDT Leads,Quasi-Board approval ,,5/18/2026,5/25/2026,Week 4,Week 5,2 wks,"PG-03, FN-04",★ GATE
,1. Project Governance & Coordination,Project Management Office/Secretariat,Phase 1,PG-05,Workstream Reviews,Weekly cross-workstream stand-ups,PMO,Weekly status notes; updated registers,,5/26/2026,8/18/2026,Week 6,Week 18,13 wks,PG-03,
,1. Project Governance & Coordination,Project Management Office/Secretariat,Phase 1,PG-06,Steering Cadence,Bi-weekly Steering Committee reports to Habeeb (DEL) and Kolapo (Transgrid).,PMO,Steering Committee update document pack every 2 weeks,,5/26/2026,8/18/2026,Week 6,Week 18,13 wks,PG-03,
,1. Project Governance & Coordination,Project Management Office/Secretariat,Phase 1,PG-07,Mid-Runway Gate,Mid-runway health check— workstream-by-workstream readiness,PMO,Mid-runway review note,,6/24/2026,6/26/2026,Week 10,Week 10,1 wks,PG-05,★ GATE
,1. Project Governance & Coordination,Financial Model and Financing Structure,Phase 1,PG-08,Model v1 Gate,Model v1 + Risk Pack review— investment case validation before final pack assembly.,PMO,Model v1 + Risk Pack signed off,,7/22/2026,7/25/2026,Week 14,Week 14,1 wks,"FN-06, MR-01",★ GATE
